Ag,Au,Cd,Co,Cu,Fe,Mn,Ni,Pb,Zn
0.71,5.71,2.37,23.13,27.65,7.29,434.14,33.92,52.23,88.1
0.59,4.31,1.96,25.58,23.09,4.69,510.62,32.59,26.6,48.97
0.33,0.16,2.14,11.67,10.52,1.8,680.41,13.56,16.09,53.44
0.25,-0.93,0.35,6.08,8.03,1.73,370.34,11.79,6,53.44
0.65,6.32,2.33,32.99,49.41,5.37,1811.76,64.42,33.2,117
0.44,3.97,2.12,24.9,36.27,4.25,501.38,29.3,23.22,53.21
0.22,-0.09,0.25,15.36,8.17,1.88,533.01,7.79,10.89,24.97
0.33,2.98,0.62,23.84,30.04,2.65,625.76,18.76,32.62,46.97
0.37,1.71,1.93,14.05,15.59,1.11,553.51,14.38,17.01,39.84
0.5,6.9,2.02,25.17,26.84,1.89,937.33,22.57,31.99,58.85
0.35,4.97,2.31,15.01,22.98,2.29,542.83,17.39,21.1,47.88
0.26,2.84,0.28,7.72,26.45,1.52,326.64,11.11,23.1,28.82
0.4,4.76,1.95,15.79,32.41,2.09,699.64,23.03,24.7,67.16
0.27,5.4,0.55,25.79,19.22,3.21,434.08,26.9,26.62,56.24
0.24,3.43,1.86,15.08,26.98,1.82,296.15,23.93,19.12,44.83
0.48,5.07,0.27,11.93,48.99,2.41,386.46,45.89,39.27,64.79
0.25,2.83,1.6,9.64,10.17,1.05,184.57,13.89,16.17,53.74
0.29,3.53,1.99,13.68,18.81,1.59,458.13,14.06,20.57,39.72
0.46,5.14,2.25,17.4,36.87,2.48,454.16,25.51,35.29,76.77
0.52,7.06,2.54,22.29,42.52,4.07,485.14,34.19,35.35,73.35
0.41,8.37,2.11,17.7,9.99,3.49,718.24,20.6,24.08,47.75
0.37,6.76,1.88,15.29,5.62,3.89,747.23,19.09,27.28,39.07
0.42,8.82,2.55,19.23,33.93,3.01,531.14,37.42,37.19,74.61
0.34,4.97,2.14,18.34,8.23,2.05,557.87,23.34,23.6,44.83
0.28,2.7,1.96,7.525,2.26,0.98,325.41,13.38,16.56,20.47
0.34,4.75,2.28,19.92,5.48,2.65,639.89,21.19,21.86,45.86
0.34,4.17,1.87,29.51,4.65,2.08,1349.24,20.53,47.69,102.18
0.43,4.98,1.87,20.19,2.03,2.01,911.92,20.97,46.52,51.48
0.43,7.24,1.94,23.16,2.21,5.08,452.69,24.27,45.06,43.96
0.56,8.45,2.44,26.12,0.59,6.04,612.21,32.24,51.81,65.79
0.41,6.54,2.08,19.52,2.95,3.69,680.24,21.22,47.24,48.17
0.39,6.73,1.96,17.18,1.43,4.31,515.74,22.74,51.79,39.11
0.32,4.67,1.69,15.1,1.26,2.44,562.9,20.8,52.7,38.87
0.31,7.3,2.12,24.72,3.01,3.2,1052.03,22.04,53.16,56.82
0.52,7.08,1.99,27.43,3.78,4.02,1094.92,25.26,56.37,51.19
0.42,7.86,1.62,21.85,2.39,5.76,402.85,20.79,53.39,36.75
0.42,5.77,1.74,19.04,3.68,1.86,670.27,22.54,58.1,49.37
0.26,5.38,1.07,5.27,1.27,1,331.55,18.55,63.66,28.12
0.3,7.24,1.18,8.36,0.74,0.99,201.11,20.54,54.17,32.64
0.28,7.4,1.59,10.28,0.52,0.8,300.42,17.6,54.94,32.83
0.14,7.18,1.29,6.52,0.62,1.06,229.07,16.19,53.42,30.82
0.31,8.02,1.59,6.83,0.3,2.81,482.31,17.31,54.23,43.44
0.45,10.19,2.37,14.48,0.56,5.3,348.09,18.52,55.14,36.99
0.22,5.49,1.28,4.01,1.37,0.83,371.09,20.98,53.8,34.12
0.32,7.26,1.92,14.82,0.58,1.81,866.12,21.14,51.4,45.53
0.5,8.17,1.94,20.94,1.11,3.26,628.09,21.28,47.86,72.84
0.29,5.83,1.86,9.17,2.25,1.44,748.43,18.21,51.99,51.03
0.34,6.96,1.81,10.1,0.36,1.45,507.2,20.1,53.51,41.97
0.65,8.43,2.3,22.73,0.43,3.18,683.46,17.08,52.99,86.92
0.34,6.64,2.03,7.69,1.02,1.15,346.68,20.03,62.36,29.74
0.43,7.23,2.11,13.68,0.34,1.57,516.33,18.7,63.7,37.9
0.4,6.51,1.99,13.24,0.45,1.68,381.97,25.45,57.78,43.13
0.37,6.21,1.98,17.96,0.65,1.21,354.24,21.76,62.57,40.28
0.33,5.98,1.85,10.29,0.76,0.76,312.32,24.21,60.93,38.68
0.4,5.98,0.9,9.43,0.61,2.67,254.4,23.73,53.9,27.72
0.29,5.59,1.77,10.39,0.68,1.2,405.03,20.64,61.37,32.52
0.35,6.43,1.77,17.79,0.93,1.29,334.9,22.98,70.72,49.16
0.41,4.3,1.96,10.94,1.25,0.63,369.26,28.32,59.7,35.91
0.31,4.12,2,15.45,1.31,2.29,815.71,25.61,62.21,38.44
0.46,4.06,2.15,28.26,0.93,2.37,786.54,23.93,67.66,1.92
